iter	RMSE
882	41.91456161
883	41.88680822
884	41.86681761
885	41.84919195
886	41.83387097
887	41.83029305
888	41.8060646
889	41.78210025
890	41.76160037
891	41.7613076
892	41.75161788
893	41.73550027
894	41.72624861
895	41.71620585
896	41.69457611
897	41.67624106
898	41.66422325
899	41.64589052
900	41.62600426
901	41.61090222
902	41.57376097
903	41.56838
904	41.55257401
905	41.53892184
906	41.53158556
907	41.52790566
908	41.50309513
909	41.48778275
910	41.46315677
911	41.4523934
912	41.42960932
913	41.40096977
914	41.39315303
915	41.36223879
916	41.34503387
917	41.32776632
918	41.306754
919	41.28176226
920	41.2709676
921	41.25624546
922	41.24625569
923	41.22351883
924	41.22252766
925	41.20071164
926	41.16835505
927	41.15848067
928	41.12455458
929	41.1242884
930	41.10659393
931	41.10299593
932	41.08775012
933	41.07215514
934	41.04713709
935	41.04604286
936	41.04322994
937	41.02761192
938	41.00228193
939	40.98168427
940	40.96869852
941	40.95086872
942	40.92562161
943	40.90172638
944	40.89972274
945	40.89426184
946	40.87897292
947	40.87111987
948	40.8481724
949	40.82619038
950	40.82523096
951	40.81179187
952	40.80237524
953	40.77976551
954	40.76432646
955	40.75643908
956	40.74067596
957	40.72592768
958	40.69917028
959	40.68949222
960	40.67519748
961	40.6466549
962	40.64409352
963	40.62584609
964	40.59464136
965	40.57233506
966	40.55537636
967	40.51805178
968	40.50512516
969	40.48226795
970	40.44996445
971	40.42585238
972	40.41405541
973	40.40066334
974	40.3771992
975	40.35412821
976	40.33672722
977	40.30727736
978	40.28527992
979	40.26243413
980	40.25917165
981	40.24501888
982	40.23767173
983	40.22454632
984	40.2048796
985	40.19227793
986	40.18602073
987	40.1744241
988	40.15226393
989	40.12295624
990	40.11269756
991	40.09796013
992	40.07402729
993	40.05512401
994	40.01479194
995	40.00670307
996	39.98709436
997	39.96242382
998	39.94956921
999	39.93048487
